pgc,objtype,objname,alt_names,ra_deg,dec_deg,ra_readable,dec_readable,major_arcmin,minor_arcmin,axis_ratio_a_over_b,bt_mag,vt_mag,modbest,e_modbest,distance_mly
771919,G,NGC1201,"2MASXJ03040796-2604105,2MIG0371,6dFJ0304080-260411,ESO480-028,ESOLV4800280,LGG086:[G93]005,MCG-04-08-023,NGC1201,PGC011559,PGC771919",46.033,-26.070,03h 04m 08.02s,"-26° 04' 10.89""",3.41,1.96,1.74,11.70,10.81,31.54,0.04,66.13
877745,G,PGC877745,"2MASSJ04060075-1746225,PGC877745",61.503,-17.773,04h 06m 00.81s,"-17° 46' 22.50""",2.19,0.49,4.47,14.95,,,,
1858492,n,IC4955,"IC4955,PGC1858492",301.218,29.190,20h 04m 52.35s,"+29° 11' 24.00""",2.09,1.55,1.35,12.98,,,,
2136915,!,PGC2136915,PGC2136915,214.581,38.803,14h 18m 19.44s,"+38° 48' 11.88""",2.24,1.38,1.62,13.96,,,,
2524220,!,PGC2524220,PGC2524220,273.499,56.064,18h 13m 59.76s,"+56° 03' 49.49""",2.45,0.58,4.27,14.47,,,,
2791343,p,ESO165-006,"ESO165-006,PGC2791343,RKK0654",133.401,-54.084,08h 53m 36.24s,"-54° 05' 00.70""",2.37,2.14,1.11,13.70,,,,
2801118,!,PGC2801118,"ESOLV1220070,PGC2801118",102.451,-61.947,06h 49m 48.22s,"-61° 56' 47.77""",2.42,0.75,3.24,15.53,,,,
2801154,G,PGC2801154,"ESOLV4900220,IRAS06377-2711,PGC2801154",99.932,-27.244,06h 39m 43.74s,"-27° 14' 37.32""",6.21,4.78,1.30,11.26,,36.61,0.08,684.27
2802615,c,NGC0339,"NGC0339,PGC2802615",14.425,-74.474,00h 57m 42.03s,"-74° 28' 25.48""",2.20,2.20,1.00,,,,,
2802641,oc,NGC2214,"BMG260,KMHK1688,LW426e,NGC2214,PGC2802641,[SL63]860e",93.240,-68.259,06h 12m 57.67s,"-68° 15' 32.02""",3.60,3.60,1.00,,10.90,,,
2802653,c,NGC5466,"NGC5466,PGC2802653",211.364,28.534,14h 05m 27.33s,"+28° 32' 04.01""",8.99,8.99,1.00,,9.20,,,
2802679,c,NGC6522,"NGC6522,PGC2802679",270.892,-30.034,18h 03m 34.12s,"-30° 02' 02.42""",9.40,9.40,1.00,,9.90,,,
2802684,c,NGC6553,"NGC6553,PGC2802684",272.315,-25.908,18h 09m 15.63s,"-25° 54' 28.30""",9.20,9.20,1.00,,8.30,,,
2817502,p,NGC0650,"3C050,MESSIER076,NGC0650,NGC0651,PGC2817502",25.582,51.575,01h 42m 19.69s,"+51° 34' 31.80""",3.12,3.12,1.00,12.20,10.10,,,
2817554,?,NGC1952,"3C144,4C+21.19,CRAB_NEBULA,IRAS05315+2158,MESSIER001,NGC1952,PGC2817554,PGC2819678",83.633,22.015,05h 34m 31.92s,"+22° 00' 52.30""",5.65,3.85,1.47,,8.40,,,
2817561,n,IC0443,"3C157,4C+22.15,IC0443,PGC2817561,PGC2819728",94.150,22.517,06h 16m 36.01s,"+22° 31' 00.01""",50.00,39.99,1.25,12.00,,,,
2882948,p,NGC1514,"BD+300623,HD281679,HIP019395,NGC1514,SAO057020,TYC2358-00056-1",62.321,30.776,04h 09m 16.95s,"+30° 46' 33.62""",2.20,2.20,1.00,10.05,10.19,,,
3084736,n,NGC6729,"NGC6729,PGC3084736",285.480,-36.958,19h 01m 55.31s,"-36° 57' 28.01""",25.00,20.00,1.25,,,,,
3097690,G,PGC3097690,"CEPHEUS1,PGC3097690",312.793,56.890,20h 51m 10.36s,"+56° 53' 24.70""",3.00,1.50,2.00,15.40,15.10,28.89,0.20,19.57
3097691,G,PGC3097691,"CETUS,CETUS_DWARF_SPHEROIDAL,KKSG01,PGC3097691,[KKS2000]01",6.545,-11.047,00h 26m 10.86s,"-11° 02' 50.21""",5.00,4.40,1.14,14.40,13.80,24.45,0.04,2.54
3097702,G,PGC3097702,"HIPASSJ1106-14,KKSG23,LOG254,PGC3097702,[KKS2000]23",166.550,-14.406,11h 06m 11.95s,"-14° 24' 19.94""",3.50,1.40,2.50,15.80,,30.78,1.13,46.78
3097827,G,PGC3097827,"F8D1,PGC3097827",146.196,67.439,09h 44m 47.10s,"+67° 26' 19.00""",2.20,2.00,1.10,14.60,13.85,27.86,0.03,12.17
3103982,G,PGC3103982,"2MASSJ03382740-0721066,PGC3103982,SDSSJ033827.39-072106.7",54.614,-7.352,03h 38m 27.39s,"-07° 21' 06.60""",2.41,2.25,1.07,13.32,,39.04,0.03,2092.31
3143104,p,NGC0246,"BD-120134,HIP003678,NGC0246",11.764,-11.872,00h 47m 03.27s,"-11° 52' 19.24""",4.08,4.08,1.00,8.00,10.90,,,
3145958,p,NGC1360,"HIP016566,NGC1360,TYC6450-01071-1",53.311,-25.872,03h 33m 14.63s,"-25° 52' 17.70""",6.43,6.43,1.00,9.60,9.40,,,
3167089,M2,UGC03730,"ARP141,CGCG330-033,MCG+12-07-035,UGC03730,VV123,[RC2]A0708+73",108.585,73.477,07h 14m 20.40s,"+73° 28' 36.83""",2.35,0.91,2.58,13.21,12.53,,,
3348987,G,SDSSJ125807.84+013455.9,"SDSSJ125807.83+013455.8,SDSSJ125807.84+013455.9",194.533,1.582,12h 58m 07.85s,"+01° 34' 55.85""",2.07,0.99,2.09,14.46,,39.37,0.02,2442.45
3517584,rn,NGC1435,NGC1435,56.542,23.765,03h 46m 10.04s,"+23° 45' 54.00""",29.99,29.99,1.00,,,,,
3517585,n,NGC1491,NGC1491,60.806,51.316,04h 03m 13.50s,"+51° 18' 58.00""",25.00,25.00,1.00,,,,,
3517586,n,NGC1499,NGC1499,60.809,36.367,04h 03m 14.20s,"+36° 22' 01.49""",159.96,39.99,4.00,5.00,,,,
3517587,rn,NGC1579,NGC1579,67.559,35.280,04h 30m 14.19s,"+35° 16' 47.00""",11.99,8.00,1.50,,,,,
3517595,n,NGC1763,"ESO085-020,IC2115,LH010,LHA120-N011B,NGC1763,[SL63]125",74.196,-66.412,04h 56m 46.99s,"-66° 24' 44.42""",5.00,3.00,1.67,,,,,
3517597,rn,NGC1788,NGC1788,76.721,-3.341,05h 06m 53.15s,"-03° 20' 27.50""",5.00,3.00,1.67,,,,,
